Question,Option 1,Option 2,Option 3,Option 4,Correct
What is the SI unit of pressure?,Pascal,Bar,PSI,mm Hg,Pascal
Which property of air causes wind to blow towards areas of warm air?,Cold air is lighter and sinks,Cold air is heavier and sinks,Warm air is heavier,Warm air has higher pressure,Cold air is heavier and sinks
What is the equivalent of 1 atmosphere in Pascals?,101325 Pa,1013.25 Pa,29.92 Pa,760 Pa,101325 Pa
What happens to atmospheric pressure as altitude increases?,It increases,It decreases,It stays the same,It fluctuates,It decreases
What is the name of the instrument used to measure atmospheric pressure?,Thermometer,Barometer,Hygrometer,Anemometer,Barometer
Which of the following is NOT a unit of pressure?,Pascal,Bar,Newton,PSI,Newton
How does temperature affect gas molecules in an enclosed space?,Molecules move slower,Molecules stop moving,Molecules move faster,Molecules decrease in size,Molecules move faster
What is the relationship between pressure and force?,Pressure = Force x Area,Pressure = Force / Area,Pressure = Force - Area,Pressure = Force + Area,Pressure = Force / Area
Which principle explains that pressure in a fluid acts equally in all directions?,Newton's Law,Bernoulli's Principle,Pascal's Law,Archimedes' Principle,Pascal's Law
What is gauge pressure?,Pressure relative to absolute zero,Pressure relative to atmospheric pressure,Pressure relative to vacuum,Pressure in a gas,Pressure relative to atmospheric pressure
What is absolute pressure?,Pressure above atmospheric pressure,Pressure relative to a vacuum,Pressure below zero,Pressure at sea level,Pressure relative to a vacuum
What does absolute zero refer to?,The temperature at which molecules stop moving,The temperature at which pressure is maximum,The temperature at which molecules move fastest,The temperature at which volume is zero,The temperature at which molecules stop moving
What effect does increasing altitude have on air density?,Air density increases,Air density decreases,Air density stays the same,Air density fluctuates,Air density decreases
What is the relationship between temperature and kinetic energy of molecules?,Temperature decreases as kinetic energy increases,Temperature increases as kinetic energy decreases,Temperature and kinetic energy are directly proportional,Temperature and kinetic energy are inversely proportional,Temperature and kinetic energy are directly proportional
Which instrument is used to measure the moisture content in the atmosphere?,Barometer,Anemometer,Hygrometer,Thermometer,Hygrometer
How is relative humidity measured by?,The total amount of moisture in the air,Comparing the actual mass of vapour in the air to the mass of vapour in saturated air at the same temperature,The mass of water vapor per cubic meter of air,The percentage of moisture relative to total air mass,Comparing the actual mass of vapour in the air to the mass of vapour in saturated air at the same temperature
Which term refers to the temperature at which air becomes fully saturated?,Dew point,Boiling point,Saturation temperature,Condensation point,Dew point
What happens to the pressure of a gas if the number of molecules is increased in a constant volume?,Pressure increases,Pressure decreases,Pressure stays the same,Pressure becomes zero,Pressure increases
What is the common unit used for measuring pressure in hydraulic systems in European countries?,Pascal,Bar,PSI,Hectopascal,Bar
Which of the following affects humidity?,Altitude,Temperature,Wind speed,Volume of air,Temperature
