Question,Option 1,Option 2,Option 3,Correct
What happens when light enters from air to glass?,It bends towards the normal,It bends away from the normal,It travels in a straight line,It bends towards the normal
What does Snell's law relate?,Angle of incidence and reflection,Angle of incidence and refraction,Angle of incidence and diffraction,Angle of incidence and refraction
What is the focal length of a concave mirror with a radius of curvature of 20 cm?,10 cm,20 cm,5 cm,10 cm
What is the speed of light in a vacuum?,2.5 x 10^8 m/s,1.5 x 10^8 m/s,3.0 x 10^8 m/s,B
What is the definition of dispersion in optics?,Splitting of light into different colors,Bending of light,,Splitting of light into different colors
Which type of image is formed by a convex mirror?,Real and inverted,Virtual and upright,Real and upright,Virtual and upright
What is total internal reflection?,Refraction beyond critical angle,Complete reflection at the boundary,Light absorption by a medium,Complete reflection at the boundary
Which law governs the bending of light as it passes from one medium to another?,Snell's law,Newton's law,Planck's law,Snell's law
What does the refractive index indicate?,Speed of sound,Speed of light in a medium,Density of a medium,Speed of light in a medium
Which phenomenon is responsible for the formation of a rainbow?,Reflection,Dispersion,Diffraction,Dispersion
What is the primary use of a concave mirror?,To produce upright images,To converge light,To disperse light,To converge light
How does the wavelength of light change in a denser medium?,It increases,It remains constant,It decreases,It decreases
What is the relationship between wavelength and frequency of light?,Directly proportional,Inversely proportional,No relationship,Inversely proportional
Which phenomenon occurs when light passes from a denser to a less dense medium at an angle greater than the critical angle?,Diffraction,Total internal reflection,Dispersion,Total internal reflection
What type of electromagnetic wave has a wavelength shorter than visible light?,Infrared,Ultraviolet,Radio waves,Ultraviolet
What is the angle of incidence if the angle of refraction is 15° inside a glass with a refractive index of 1.5?,10°,22.8°,30°,22.8°
How does the refractive index affect the speed of light in a medium?,Higher index increases speed,Higher index decreases speed,No effect,Higher index decreases speed
What is the critical angle for the glass-air interface if the refractive index of glass is 1.5?,41.8°,60°,90°,41.8°
Which type of lens is thicker in the center than at the edges?,Convex lens,Concave lens,Planar lens) Convex lens,Convex lens
What is the primary characteristic of electromagnetic waves?,They require a medium,They can travel in a vacuum,They travel slower than sound,They can travel in a vacuum
